"data_source","signal","geo_value","time_value","source","geo_type","time_type","issue","lag","missing_value","missing_stderr","missing_sample_size","value","stderr","sample_size"
"hhs","confirmed_admissions_covid_1d","us",2020-04-15,"hhs","nation","day",2023-04-13,1093,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-16,"hhs","nation","day",2023-04-13,1092,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-17,"hhs","nation","day",2023-04-13,1091,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-18,"hhs","nation","day",2023-04-13,1090,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-19,"hhs","nation","day",2023-04-13,1089,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-20,"hhs","nation","day",2023-04-13,1088,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-21,"hhs","nation","day",2023-04-13,1087,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-22,"hhs","nation","day",2023-04-13,1086,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-23,"hhs","nation","day",2023-04-13,1085,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-24,"hhs","nation","day",2023-04-13,1084,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-25,"hhs","nation","day",2023-04-13,1083,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-26,"hhs","nation","day",2023-04-13,1082,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-27,"hhs","nation","day",2023-04-13,1081,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-28,"hhs","nation","day",2023-04-13,1080,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-29,"hhs","nation","day",2023-04-13,1079,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-04-30,"hhs","nation","day",2023-04-13,1078,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-01,"hhs","nation","day",2023-04-13,1077,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-02,"hhs","nation","day",2023-04-13,1076,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-03,"hhs","nation","day",2023-04-13,1075,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-04,"hhs","nation","day",2023-04-13,1074,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-05,"hhs","nation","day",2023-04-13,1073,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-06,"hhs","nation","day",2023-04-13,1072,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-07,"hhs","nation","day",2023-04-13,1071,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-08,"hhs","nation","day",2023-04-13,1070,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-09,"hhs","nation","day",2023-04-13,1069,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-10,"hhs","nation","day",2023-04-13,1068,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-11,"hhs","nation","day",2023-04-13,1067,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-12,"hhs","nation","day",2023-04-13,1066,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-13,"hhs","nation","day",2023-04-13,1065,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-14,"hhs","nation","day",2023-04-13,1064,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-15,"hhs","nation","day",2023-04-13,1063,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-16,"hhs","nation","day",2023-04-13,1062,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-17,"hhs","nation","day",2023-04-13,1061,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-18,"hhs","nation","day",2023-04-13,1060,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-19,"hhs","nation","day",2023-04-13,1059,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-20,"hhs","nation","day",2023-04-13,1058,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-21,"hhs","nation","day",2023-04-13,1057,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-22,"hhs","nation","day",2023-04-13,1056,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-23,"hhs","nation","day",2023-04-13,1055,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-24,"hhs","nation","day",2023-04-13,1054,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-25,"hhs","nation","day",2023-04-13,1053,0,5,5,1,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-26,"hhs","nation","day",2023-04-13,1052,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-27,"hhs","nation","day",2023-04-13,1051,0,5,5,0,NA,NA
"hhs","confirmed_admissions_covid_1d","us",2020-05-28,"hhs","nation","day",2023-04-13,1050,0,5,5,0,NA,NA
