data_source,signal,geo_value,time_value,source,geo_type,time_type,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size
jhu-csse,confirmed_incidence_num,us,2020-04-01,jhu-csse,nation,day,2023-03-10,1073,0,5,5,35464.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-02,jhu-csse,nation,day,2023-03-10,1072,0,5,5,32255.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-03,jhu-csse,nation,day,2023-03-10,1071,0,5,5,32403.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-04,jhu-csse,nation,day,2023-03-10,1070,0,5,5,31764.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-05,jhu-csse,nation,day,2023-03-10,1069,0,5,5,29152.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-06,jhu-csse,nation,day,2023-03-10,1068,0,5,5,31993.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-07,jhu-csse,nation,day,2023-03-03,1060,0,5,5,30146.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-08,jhu-csse,nation,day,2023-03-10,1066,0,5,5,31244.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-09,jhu-csse,nation,day,2023-03-10,1065,0,5,5,35481.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-10,jhu-csse,nation,day,2023-03-10,1064,0,5,5,34415.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-11,jhu-csse,nation,day,2023-03-03,1056,0,5,5,28917.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-12,jhu-csse,nation,day,2023-03-03,1055,0,5,5,26238.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-13,jhu-csse,nation,day,2023-03-03,1054,0,5,5,26847.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-14,jhu-csse,nation,day,2023-03-10,1060,0,5,5,28456.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-15,jhu-csse,nation,day,2023-03-10,1059,0,5,5,25983.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-16,jhu-csse,nation,day,2023-03-03,1051,0,5,5,29617.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-17,jhu-csse,nation,day,2023-03-10,1057,0,5,5,33140.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-18,jhu-csse,nation,day,2023-03-03,1049,0,5,5,27275.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-19,jhu-csse,nation,day,2023-03-03,1048,0,5,5,25412.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-20,jhu-csse,nation,day,2023-03-10,1054,0,5,5,30252.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-21,jhu-csse,nation,day,2023-03-03,1046,0,5,5,26273.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-22,jhu-csse,nation,day,2023-03-10,1052,0,5,5,29927.0,,
jhu-csse,confirmed_incidence_num,us,2020-04-23,jhu-csse,nation,day,2023-03-03,1044,0,5,5,31965.0,,
