"data_source","signal","geo_value","time_value","source","geo_type","time_type","issue","lag","missing_value","missing_stderr","missing_sample_size","value","stderr","sample_size"
"jhu-csse","deaths_incidence_num","us",2020-04-15,"jhu-csse","nation","day",2023-03-03,1052,0,5,5,2596,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-16,"jhu-csse","nation","day",2023-03-03,1051,0,5,5,2195,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-17,"jhu-csse","nation","day",2023-03-03,1050,0,5,5,2101,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-18,"jhu-csse","nation","day",2023-03-03,1049,0,5,5,1936,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-19,"jhu-csse","nation","day",2023-03-03,1048,0,5,5,1989,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-20,"jhu-csse","nation","day",2023-03-03,1047,0,5,5,2256,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-21,"jhu-csse","nation","day",2023-03-03,1046,0,5,5,2476,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-22,"jhu-csse","nation","day",2023-03-09,1051,0,5,5,2461,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-23,"jhu-csse","nation","day",2023-03-03,1044,0,5,5,2421,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-24,"jhu-csse","nation","day",2023-03-09,1049,0,5,5,2063,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-25,"jhu-csse","nation","day",2023-03-03,1042,0,5,5,1735,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-26,"jhu-csse","nation","day",2023-03-03,1041,0,5,5,1413,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-27,"jhu-csse","nation","day",2023-03-03,1040,0,5,5,1481,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-28,"jhu-csse","nation","day",2023-03-03,1039,0,5,5,2231,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-29,"jhu-csse","nation","day",2023-03-03,1038,0,5,5,2371,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-04-30,"jhu-csse","nation","day",2023-03-03,1037,0,5,5,2188,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-01,"jhu-csse","nation","day",2023-03-03,1036,0,5,5,1880,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-02,"jhu-csse","nation","day",2023-03-03,1035,0,5,5,1773,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-03,"jhu-csse","nation","day",2023-03-03,1034,0,5,5,1203,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-04,"jhu-csse","nation","day",2023-03-03,1033,0,5,5,1367,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-05,"jhu-csse","nation","day",2023-03-03,1032,0,5,5,2176,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-06,"jhu-csse","nation","day",2023-03-03,1031,0,5,5,2318,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-07,"jhu-csse","nation","day",2023-03-03,1030,0,5,5,1900,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-08,"jhu-csse","nation","day",2023-03-03,1029,0,5,5,1769,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-09,"jhu-csse","nation","day",2023-03-03,1028,0,5,5,1471,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-10,"jhu-csse","nation","day",2023-03-03,1027,0,5,5,1000,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-11,"jhu-csse","nation","day",2023-03-03,1026,0,5,5,1023,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-12,"jhu-csse","nation","day",2023-03-03,1025,0,5,5,1589,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-13,"jhu-csse","nation","day",2023-03-03,1024,0,5,5,1694,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-14,"jhu-csse","nation","day",2023-03-03,1023,0,5,5,1765,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-15,"jhu-csse","nation","day",2023-03-03,1022,0,5,5,1626,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-16,"jhu-csse","nation","day",2023-03-03,1021,0,5,5,1169,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-17,"jhu-csse","nation","day",2023-03-03,1020,0,5,5,815,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-18,"jhu-csse","nation","day",2023-03-03,1019,0,5,5,1222,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-19,"jhu-csse","nation","day",2023-03-03,1018,0,5,5,1425,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-20,"jhu-csse","nation","day",2023-03-03,1017,0,5,5,1469,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-21,"jhu-csse","nation","day",2023-03-03,1016,0,5,5,1181,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-22,"jhu-csse","nation","day",2023-03-03,1015,0,5,5,1204,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-23,"jhu-csse","nation","day",2023-03-03,1014,0,5,5,1076,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-24,"jhu-csse","nation","day",2023-03-03,1013,0,5,5,635,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-25,"jhu-csse","nation","day",2023-03-03,1012,0,5,5,600,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-26,"jhu-csse","nation","day",2023-03-03,1011,0,5,5,653,NA,NA
"jhu-csse","deaths_incidence_num","us",2020-05-27,"jhu-csse","nation","day",2023-03-03,1010,0,5,5,1452,NA,NA
