data_source,signal,geo_value,time_value,source,geo_type,time_type,issue,lag,missing_value,missing_stderr,missing_sample_size,value,stderr,sample_size
jhu-csse,confirmed_incidence_num,ak,2020-04-01,jhu-csse,state,day,2023-03-03,1066,0,5,5,13.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-02,jhu-csse,state,day,2023-03-03,1065,0,5,5,8.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-03,jhu-csse,state,day,2023-03-03,1064,0,5,5,11.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-04,jhu-csse,state,day,2023-03-03,1063,0,5,5,11.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-05,jhu-csse,state,day,2023-03-03,1062,0,5,5,15.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-06,jhu-csse,state,day,2023-03-03,1061,0,5,5,6.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-07,jhu-csse,state,day,2023-03-03,1060,0,5,5,22.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-08,jhu-csse,state,day,2023-03-03,1059,0,5,5,13.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-09,jhu-csse,state,day,2023-03-03,1058,0,5,5,10.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-10,jhu-csse,state,day,2023-03-03,1057,0,5,5,11.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-11,jhu-csse,state,day,2023-03-03,1056,0,5,5,12.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-12,jhu-csse,state,day,2023-03-03,1055,0,5,5,15.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-13,jhu-csse,state,day,2023-03-03,1054,0,5,5,5.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-14,jhu-csse,state,day,2023-03-03,1053,0,5,5,8.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-15,jhu-csse,state,day,2023-03-03,1052,0,5,5,8.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-16,jhu-csse,state,day,2023-03-03,1051,0,5,5,8.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-17,jhu-csse,state,day,2023-03-03,1050,0,5,5,9.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-18,jhu-csse,state,day,2023-03-03,1049,0,5,5,5.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-19,jhu-csse,state,day,2023-03-03,1048,0,5,5,5.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-20,jhu-csse,state,day,2023-03-03,1047,0,5,5,2.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-21,jhu-csse,state,day,2023-03-03,1046,0,5,5,8.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-22,jhu-csse,state,day,2023-03-03,1045,0,5,5,6.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-23,jhu-csse,state,day,2023-03-03,1044,0,5,5,2.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-24,jhu-csse,state,day,2023-03-03,1043,0,5,5,2.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-25,jhu-csse,state,day,2023-03-03,1042,0,5,5,0.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-26,jhu-csse,state,day,2023-03-03,1041,0,5,5,2.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-27,jhu-csse,state,day,2023-03-03,1040,0,5,5,4.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-28,jhu-csse,state,day,2023-03-03,1039,0,5,5,6.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-29,jhu-csse,state,day,2023-03-03,1038,0,5,5,4.0,,
jhu-csse,confirmed_incidence_num,ak,2020-04-30,jhu-csse,state,day,2023-03-03,1037,0,5,5,0.0,,
